"year","1","2","3","4","5","6","7","8","9","10"
1968,262954,361704,468277,547070,600508,650090,682723,725600,738747,806432
1969,262623,361250,467689,546384,599754,649274,681866,724689,737819,805420
1970,262274,360769,467068,545657,598957,648411,680959,723726,736839,804349
1971,261905,360261,466410,544889,598114,647499,680001,722707,735801,803217
1972,261515,359724,465715,544077,597222,646533,678987,721630,734705,802020
1973,261102,359157,464980,543218,596280,645513,677916,720491,733545,800754
1974,260666,358556,464203,542310,595283,644434,676782,719287,732319,799415
1975,260478,358298,463869,541920,594855,643970,676296,718769,731792,798840
1976,260483,358305,463877,541930,594865,643982,676307,718782,731805,798854
1977,260620,358493,464121,542215,595179,644321,676664,719161,732190,799275
1978,260719,358630,464297,542421,595405,644566,676921,719434,732468,799579
1979,260835,358790,464505,542663,595671,644854,677223,719755,732796,799936
1980,260867,358834,464562,542730,595744,644933,677306,719844,732886,800034
1981,260830,358782,464495,542652,595658,644840,677209,719740,732780,799919
1982,260846,358804,464524,542685,595695,644879,677250,719784,732825,799968
1983,261091,359142,464961,543196,596256,645487,677888,720462,733515,800722
1984,261351,359499,465423,543736,596848,646128,678562,721178,734244,801517
1985,261721,360008,466083,544506,597694,647044,679523,722200,735284,802653
1986,262193,360658,466923,545489,598772,648211,680749,723502,736611,804100
1987,262561,361164,467579,546255,599613,649121,681705,724518,737645,805230
1988,262918,361654,468213,546996,600426,650002,682630,725501,738646,806322
1989,263306,362189,468906,547805,601314,650963,683639,726574,739738,807514
1990,263620,362620,469464,548457,602030,651738,684453,727440,740619,808476
1991,264007,363152,470153,549262,602913,652694,685457,728507,741706,809662
1992,264525,363865,471076,550340,604097,653976,686803,729937,743162,811252
1993,265228,364832,472328,551802,605702,655714,688628,731877,745137,813408
1994,265806,365627,473357,553005,607022,657143,690129,733472,746761,815180
1995,266580,366692,474735,554615,608790,659056,692139,735607,748935,817554
1996,267372,367782,476146,556263,610599,661015,694195,737793,751160,819983
1997,268181,368894,477586,557946,612446,663014,696295,740025,753432,822464
1998,269077,370127,479182,559811,614493,665230,698622,742498,755951,825212
1999,270002,371399,480829,561734,616604,667516,701023,745050,758548,828048
2000,270978,372742,482568,563766,618834,669930,703558,747744,761292,831043
2001,271985,374127,484361,565861,621134,672420,706173,750523,764121,834131
2002,272818,375273,485845,567594,623036,674479,708335,752821,766461,836685
2003,273679,376458,487378,569385,625003,676608,710571,755198,768880,839327
2004,274486,377568,488815,571064,626846,678603,712667,757425,771148,841802
2005,275336,378736,490328,572831,628785,680702,714871,759768,773533,844406
2006,276045,379711,491591,574307,630405,682456,716713,761725,775526,846581
2007,276440,380254,492294,575128,631307,683432,717738,762814,776635,847792
2008,276680,380585,492721,575628,631855,684026,718361,763477,777310,848528
2009,276790,380736,492917,575856,632106,684297,718646,763780,777618,848865
2010,276998,381022,493288,576289,632581,684812,719187,764354,778203,849504
2011,277226,381336,493694,576764,633103,685376,719780,764984,778844,850204
2012,277303,381443,493832,576925,633279,685567,719981,765198,779062,850441
2013,277630,381891,494413,577604,634024,686374,720828,766098,779979,851442
2014,277830,382166,494769,578020,634481,686868,721347,766650,780540,852055
2015,277935,382311,494957,578239,634721,687128,721620,766940,780836,852378
2016,277869,382221,494840,578103,634572,686967,721450,766760,780652,852177
2017,277689,381973,494519,577728,634160,686521,720982,766262,780145,851624
2018,277426,381611,494050,577180,633559,685870,720299,765536,779406,850817
2019,277162,381248,493580,576630,632955,685217,719612,764807,778663,850006
2020,276697,380608,492752,575664,631894,684068,718406,763525,777358,848581
2021,275995,379643,491502,574203,630291,682333,716584,761588,775386,846429
2022,275410,378838,490460,572986,628955,680886,715064,759973,773742,844634
2023,274849,378066,489460,571818,627673,679498,713607,758424,772165,842912
2024,274391,377437,488646,570866,626628,678367,712419,757162,770880,841510
