id,season,doy,sample_id,fish_id,length,weight,weight_gonads,fecundity,age,age1,age2,age3,year,maturity,dillution,subsample_n,SS1,SS2,SS3,SS4,SS5,SS6,SS7,comment
1,A,153,470001,16,365,617.6,85.43,507200,3,,,,1982,5,4000,5,110,270,373,512,638,,,
2,A,153,470001,17,340,466.3,56.54,375750,3,,,,1982,5,3000,4,144,265,360,504,,,,
3,A,153,470001,21,393,707.4,84.46,457333,8,,,,1982,5,4000,2,133,105,,,,,,
4,A,153,470001,22,397,924.4,161.95,841333,8,,,,1982,5,4000,3,225,182,407,,,,,
5,A,176,436009,4,415,901.1,82.24,393333,15,,,,1982,5,4000,4,95,205,300,396,,,,
6,A,176,436009,5,380,730.6,89.01,592000,4,,,,1982,5,4000,3,138,295,446,,,,,
7,A,176,436009,16,400,833.6,55.6,251400,7,,,,1982,5,3000,5,80,168,247,246,423,,,
8,A,177,436010,13,402,802.4,64.11,436000,9,,,,1982,5,3000,3,155,279,438,,,,,
9,A,177,436010,19,396,800.3,59.92,562500,7,,,,1982,5,3000,2,195,180,,,,,,
10,A,177,436010,26,425,947.5,89.62,404000,6,,,,1982,5,4000,4,128,215,312,407,,,,
11,A,179,461015,1,427,1105.4,228.52,812000,13,,,,1982,5,,2,201,205,,,,,,
12,A,179,461015,2,432,1004.7,137.65,836000,14,,,,1982,5,4000,2,209,419,,,,,,
13,A,179,461015,7,390,706.3,47.7,442000,4,,,,1982,5,2000,2,207,443,,,,,,
14,A,179,461015,9,343,514.6,28.32,233200,2,,,,1982,5,2000,5,114,217,358,473,587,,,
15,A,179,461015,11,371,693.9,84.76,593000,4,,,,1982,5,4000,4,140,318,442,596,,,,
16,A,179,461015,17,364,750.8,140.5,550667,4,,,,1982,5,4000,3,142,269,415,,,,,
17,A,179,461015,20,343,552.9,75.67,419000,2,,,,1982,5,3000,3,137,282,421,,,,,
18,A,179,461015,23,404,826,27.59,204500,11,,,,1982,5,1500,3,,287,411,,,,,est ecrit ? A la place d'une valeur
19,A,179,461015,25,405,568.7,58.79,363750,,,,,1982,5,3000,4,105,227,354,488,,,,
20,A,179,461015,26,334,477.8,67.47,386250,2,,,,1982,5,3000,4,128,248,391,518,,,,
21,A,179,461015,27,365,626.4,33.98,292500,3,,,,1982,5,2000,4,164,320,440,588,,,,
22,A,179,461015,29,380,579.2,111.06,448000,4,,,,1982,5,4000,4,123,249,340,451,,,,
23,A,179,461015,30,361,564.5,50.85,309500,3,,,,1982,5,2000,4,154,329,473,622,,,,
